,x_ind,cluster,centroid,train/test,lambda,rf,error,parent_ind
126,126,0,0,0,5,0.0,0.0,216
127,127,2,1,0,3,0.0,0.0,1121
128,128,0,0,0,5,0.0,0.0,28
129,129,0,1,0,3,0.3333333333333333,0.0,309
130,130,0,0,0,5,0.0,0.0,1114
131,131,0,0,0,4,0.0,0.0,1125
132,132,0,0,1,5,0.0,0.0,52
133,133,2,1,0,2,0.0,0.0,1415
134,134,0,0,1,5,0.0,0.0,244
135,135,4,0,1,4,0.0,0.0,255
136,136,2,0,0,5,0.0,0.0,36
137,137,4,1,0,4,0.0,0.0,436
138,138,2,1,0,1,0.0,0.0,545
139,139,0,0,1,5,0.0,0.0,67
140,140,2,0,0,5,0.0,0.13333333333333333,50
141,141,4,1,0,3,0.2,0.0,321
142,142,0,0,0,5,0.0,0.0,52
143,143,4,0,0,4,0.0,0.0,1137
144,144,0,0,1,5,0.0,0.0,244
145,145,2,0,0,3,0.0,0.0,37
146,146,2,1,0,4,0.0,0.0,256
147,147,2,1,0,3,0.06666666666666667,0.0,4102
148,148,2,1,0,4,0.0,0.0,348
149,149,0,0,1,4,0.0,0.0,1203
150,150,2,0,1,5,0.13333333333333333,0.0,50
151,151,4,0,1,4,0.13333333333333333,0.19999999999999998,4406
152,152,0,0,0,5,0.0,0.0,52
153,153,4,1,0,3,0.26666666666666666,0.0,273
154,154,0,0,0,5,0.0,0.0,244
155,155,1,1,0,4,0.0,0.0,335
156,156,4,0,0,5,0.0,0.0,56
157,157,2,0,1,4,0.0,0.0,456
158,158,4,0,0,5,0.0,0.0,58
159,159,2,1,0,3,0.6,0.0,458
160,160,2,1,0,3,0.13333333333333333,0.0,242
161,161,2,0,0,4,0.6,0.06666666666666665,2151
162,162,0,0,0,5,0.13333333333333333,-0.13333333333333333,52
163,163,2,1,0,3,0.13333333333333333,0.0,271
164,164,2,1,0,4,0.13333333333333333,0.0,284
165,165,2,1,0,3,0.5333333333333333,0.0,57
166,166,4,0,1,5,0.0,0.0,56
167,167,2,1,0,4,0.0,0.0,475
168,168,4,0,1,5,0.0,0.0,58
169,169,4,1,0,2,0.06666666666666667,0.0,4304
170,170,2,0,0,5,0.3333333333333333,0.2,180
171,171,2,1,0,4,0.13333333333333333,0.0,1165
172,172,2,1,0,3,0.3333333333333333,0.0,280
173,173,0,1,0,4,0.6666666666666666,0.0,2046
174,174,2,0,0,5,0.13333333333333333,0.0,164
175,175,1,0,1,5,0.13333333333333333,-0.06666666666666667,355
176,176,0,0,0,5,0.13333333333333333,0.0,76
177,177,3,0,1,4,0.6666666666666666,0.20000000000000007,2271
178,178,2,1,0,4,0.0,0.0,188
179,179,2,0,1,4,0.13333333333333333,-0.06666666666666667,359
180,180,2,1,0,4,0.5333333333333333,0.0,172
181,181,0,1,0,4,0.6666666666666666,0.0,172
182,182,1,1,0,4,0.4,0.0,172
183,183,2,0,0,4,0.3333333333333333,-0.19999999999999998,63
184,184,0,0,1,5,0.3333333333333333,0.13333333333333336,194
185,185,2,0,0,4,0.8,-0.06666666666666676,1179
186,186,1,0,0,5,0.2,-0.06666666666666668,286
187,187,0,0,0,5,0.13333333333333333,-0.13333333333333333,67
188,188,2,1,0,3,0.13333333333333333,0.0,1280
189,189,2,1,0,3,0.8666666666666667,0.0,2469
190,190,2,0,0,5,0.7333333333333333,-0.19999999999999996,180
191,191,4,0,1,5,0.9333333333333333,-0.33333333333333337,71
192,192,1,0,1,5,0.6666666666666666,-0.2666666666666666,182
193,193,2,1,0,3,0.6666666666666666,0.0,73
194,194,0,1,0,4,0.4666666666666667,0.0,284
195,195,2,0,1,4,0.4666666666666667,-0.33333333333333337,375
196,196,1,0,1,5,0.3333333333333333,-0.19999999999999998,286
197,197,4,0,0,3,0.8666666666666667,-0.4,675
198,198,0,1,0,4,0.3333333333333333,0.0,188
199,199,0,0,1,5,0.3333333333333333,-0.3333333333333333,379
200,200,2,0,0,5,0.0,0.0,110
201,201,1,0,0,4,0.0,0.0,2190
202,202,2,0,0,5,0.0,0.13333333333333333,312
203,203,0,0,1,5,0.06666666666666667,-0.06666666666666667,104
204,204,0,0,0,5,0.0,0.0,104
205,205,2,1,0,2,0.0,0.0,325
206,206,0,0,0,5,0.0,0.0,216
207,207,2,0,0,4,0.2,-0.06666666666666668,4462
208,208,2,0,0,5,0.0,0.0,108
209,209,0,0,0,4,0.0,0.0,1203
210,210,2,0,1,5,0.0,0.0,110
211,211,4,1,0,4,0.0,0.0,11
212,212,2,0,0,5,0.0,0.13333333333333333,312
213,213,2,1,0,2,0.0,0.0,224
214,214,0,0,1,5,0.0,0.0,104
215,215,4,1,0,4,0.0,0.0,335
216,216,0,1,0,4,0.0,0.0,116
217,217,0,0,0,3,0.06666666666666667,-0.06666666666666667,37
218,218,2,0,1,5,0.0,0.0,108
219,219,2,0,1,4,0.7333333333333333,-0.19999999999999996,518
220,220,4,1,0,2,0.0,0.0,222
221,221,4,1,0,3,0.0,0.0,3195
222,222,4,1,0,1,0.0,0.0,421
223,223,2,1,0,3,0.0,0.0,2212
224,224,3,1,0,1,0.0,0.0,421
225,225,2,1,0,3,0.0,0.0,1219
226,226,0,0,0,5,0.0,0.0,216
227,227,0,0,1,5,0.0,0.0,107
228,228,3,0,1,5,0.0,0.0,328
229,229,2,0,0,3,0.26666666666666666,0.0,49
230,230,2,0,1,5,0.0,0.13333333333333333,320
231,231,1,0,0,4,0.0,0.0,4186
232,232,2,0,0,5,0.0,0.0,342
233,233,0,0,1,5,0.0,0.13333333333333333,412
234,234,0,0,0,5,0.0,0.0,244
235,235,0,1,0,4,0.0,0.0,127
236,236,3,0,0,5,0.0,0.0,336
237,237,4,1,0,1,0.13333333333333333,0.0,464
238,238,2,0,1,5,0.0,0.0,148
239,239,2,0,1,4,0.0,0.06666666666666667,359
240,240,2,0,1,5,0.0,0.13333333333333333,50
241,241,3,0,0,4,0.0,0.0,4196
242,242,2,1,0,2,0.0,0.0,222
243,243,4,1,0,2,0.0,0.0,1249
244,244,0,1,0,4,0.0,0.0,44
245,245,4,1,0,4,0.0,0.0,2046
246,246,2,1,0,2,0.0,0.0,138
247,247,2,1,0,3,0.0,0.0,2235
248,248,0,0,1,5,0.0,0.0,358
249,249,0,0,0,4,0.3333333333333333,-0.19999999999999998,548
250,250,2,0,0,5,0.13333333333333333,0.0,50
251,251,0,0,1,4,0.13333333333333333,-0.13333333333333333,1125
252,252,2,0,1,5,0.0,0.0,342
253,253,3,1,0,1,0.0,0.0,552
254,254,0,0,1,5,0.0,0.0,244
255,255,4,1,0,3,0.0,0.0,434
256,256,1,1,0,3,0.0,0.0,246
257,257,2,1,0,4,0.0,0.0,436
258,258,0,0,0,5,0.0,0.0,358
259,259,2,1,0,4,0.0,0.0,1373
260,260,2,0,0,5,0.13333333333333333,0.0,50
261,261,4,0,0,4,0.6666666666666666,-0.39999999999999997,153
262,262,1,0,0,5,0.13333333333333333,0.2666666666666667,182
263,263,2,0,0,4,0.13333333333333333,0.4,383
264,264,2,0,0,5,0.0,0.13333333333333333,164
265,265,0,1,0,3,0.0,0.0,73
266,266,1,0,0,5,0.0,0.0,356
267,267,2,1,0,2,0.13333333333333333,0.0,446
268,268,2,0,0,5,0.0,0.0,178
269,269,2,0,0,4,0.13333333333333333,0.4666666666666667,89
270,270,2,0,0,5,0.3333333333333333,0.2,180
271,271,4,1,0,2,0.4666666666666667,0.0,372
272,272,1,0,0,5,0.3333333333333333,0.06666666666666671,182
273,273,2,1,0,2,0.8,0.0,572
274,274,1,0,1,5,0.13333333333333333,0.0,374
275,275,4,1,0,4,0.26666666666666666,0.0,475
276,276,1,0,0,5,0.13333333333333333,0.0,286
277,277,4,0,0,3,0.0,0.13333333333333333,695
278,278,2,0,0,5,0.0,0.0,178
279,279,2,0,1,4,0.5333333333333333,0.06666666666666665,159
280,280,2,1,0,2,0.5333333333333333,0.0,372
281,281,4,0,0,4,1.0,-0.33333333333333337,3116
282,282,1,0,0,5,0.3333333333333333,0.06666666666666671,182
283,283,2,1,0,4,0.5333333333333333,0.0,462
284,284,2,1,0,3,0.3333333333333333,0.0,4229
285,285,1,0,0,4,0.8666666666666667,0.1333333333333333,2376
286,286,1,1,0,4,0.13333333333333333,0.0,188
287,287,1,0,1,5,0.4,-0.13333333333333336,585
288,288,0,0,0,5,0.13333333333333333,0.19999999999999998,198
289,289,2,0,0,3,0.06666666666666667,0.06666666666666667,695
290,290,2,0,1,5,0.6666666666666666,-0.1333333333333333,180
291,291,4,0,1,4,0.4,-0.06666666666666671,4546
292,292,1,0,0,5,0.6666666666666666,-0.2666666666666666,182
293,293,2,1,0,3,1.0,0.0,1467
294,294,0,0,0,5,0.4,0.06666666666666665,194
295,295,4,1,0,4,0.5333333333333333,0.0,247
296,296,1,0,1,5,0.3333333333333333,-0.19999999999999998,286
297,297,4,0,1,4,1.0,-0.06666666666666665,595
298,298,2,0,1,4,0.3333333333333333,-0.1333333333333333,398
299,299,2,0,0,4,0.4,-0.33333333333333337,359
300,300,2,0,0,5,0.13333333333333333,-0.13333333333333333,110
301,301,2,1,0,3,0.13333333333333333,0.0,121
302,302,2,0,0,5,0.13333333333333333,0.0,312
303,303,2,0,0,4,0.0,0.0,3
304,304,2,1,0,4,0.0,0.0,1408
305,305,2,0,0,5,0.0,0.0,125
306,306,0,0,0,5,0.0,0.0,216
307,307,4,1,0,4,0.06666666666666667,0.0,127
308,308,4,0,1,5,0.0,0.13333333333333333,507
309,309,2,1,0,2,0.0,0.0,237
310,310,2,0,0,5,0.13333333333333333,0.0,320
311,311,3,1,0,4,0.2,0.0,11
312,312,2,1,0,4,0.13333333333333333,0.0,4267
313,313,4,1,0,2,0.0,0.0,1415
314,314,0,1,0,4,0.0,0.0,1408
315,315,4,0,1,4,0.0,0.0,15
316,316,0,0,0,5,0.0,0.0,216
317,317,0,1,0,4,0.0,0.0,436
318,318,1,0,1,5,0.0,0.0,417
319,319,2,1,0,4,0.0,0.0,2293
320,320,2,1,0,4,0.13333333333333333,0.0,2199
321,321,3,1,0,2,0.13333333333333333,0.0,222
322,322,2,0,1,5,0.13333333333333333,0.0,312
323,323,4,0,0,4,0.06666666666666667,-0.06666666666666667,1137
324,324,0,0,0,5,0.0,0.0,314
325,325,4,1,0,1,0.0,0.0,552
326,326,3,0,0,5,0.0,0.0,336
327,327,2,0,0,4,0.06666666666666667,0.0,147
328,328,3,1,0,4,0.0,0.0,118
329,329,4,1,0,2,0.0,0.0,3493
330,330,2,0,0,5,0.13333333333333333,0.0,320
331,331,0,1,0,4,0.13333333333333333,0.0,4466
332,332,2,0,0,5,0.0,0.0,342
333,333,2,0,0,4,0.0,0.13333333333333333,404
334,334,2,0,0,5,0.0,0.13333333333333333,433
335,335,2,1,0,3,0.06666666666666667,0.0,246
336,336,3,1,0,4,0.0,0.0,256
337,337,2,0,0,4,0.0,0.0,456
338,338,3,0,0,5,0.0,0.0,437
339,339,2,1,0,3,0.5333333333333333,0.0,4714
340,340,2,0,0,5,0.13333333333333333,-0.13333333333333333,342
341,341,1,0,0,4,0.13333333333333333,0.5333333333333333,2151
342,342,2,1,0,4,0.0,0.0,2230
343,343,2,0,0,4,0.06666666666666667,0.06666666666666667,163
344,344,2,0,0,5,0.0,0.13333333333333333,433
345,345,2,0,0,4,0.06666666666666667,-0.06666666666666667,225
346,346,1,0,0,5,0.0,0.0,356
347,347,2,1,0,4,0.06666666666666667,0.0,466
348,348,0,1,0,3,0.0,0.0,246
349,349,2,1,0,3,0.13333333333333333,0.0,528
350,350,2,0,1,5,0.13333333333333333,-0.13333333333333333,342
351,351,4,0,1,4,0.0,0.0,4306
352,352,2,0,0,5,0.0,0.0,342
353,353,4,1,0,2,0.2,0.0,460
354,354,1,0,1,5,0.0,0.13333333333333333,374
355,355,1,1,0,4,0.06666666666666667,0.0,247
356,356,1,1,0,4,0.0,0.0,256
357,357,4,1,0,3,0.26666666666666666,0.0,57
358,358,0,1,0,4,0.0,0.0,348
359,359,2,1,0,3,0.06666666666666667,0.0,1053
360,360,3,0,0,5,0.13333333333333333,0.0,1154
361,361,2,1,0,4,0.13333333333333333,0.0,479
362,362,0,0,0,5,0.13333333333333333,0.19999999999999998,382
363,363,2,0,0,4,0.0,0.13333333333333333,63
364,364,1,0,0,5,0.0,0.13333333333333333,374
365,365,2,0,0,4,0.3333333333333333,0.39999999999999997,1179
366,366,1,0,1,5,0.0,0.0,356
367,367,0,0,1,5,0.0,0.0,67
368,368,2,0,0,5,0.0,0.0,178
369,369,2,1,0,3,0.4666666666666667,0.0,667
370,370,4,0,0,5,0.3333333333333333,0.0,469
371,371,0,0,1,5,0.4666666666666667,-0.13333333333333336,382
372,372,1,1,0,1,0.13333333333333333,0.0,571
373,373,2,0,1,4,0.2,0.4666666666666666,193
374,374,1,1,0,4,0.13333333333333333,0.0,284
375,375,2,1,0,3,0.13333333333333333,0.0,267
376,376,1,0,1,5,0.13333333333333333,0.0,575
377,377,2,0,0,3,0.4666666666666667,0.0,675
378,378,4,0,1,5,0.0,0.13333333333333333,388
379,379,0,1,0,4,0.0,0.0,1373
380,380,4,0,0,5,0.4666666666666667,-0.13333333333333336,469
381,381,2,1,0,4,0.9333333333333333,0.0,81
382,382,0,1,0,4,0.3333333333333333,0.0,479
